wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1779056796.145,0.0083,3000.0,-0.00,-0.00,0.00,0.00,0.00,0.18,-0.0000,-0.0030,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.165,0.0254,3000.0,-0.00,-0.01,0.00,0.01,0.00,0.56,-0.0000,-0.0080,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.185,0.0453,3000.0,-0.00,-0.02,0.00,0.03,0.00,1.00,-0.0000,-0.0142,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.205,0.0658,3000.0,-0.00,-0.04,0.00,0.04,0.00,1.46,0.0000,-0.0210,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.225,0.0850,2999.9,0.00,-0.07,0.00,0.05,-0.00,1.88,0.0000,-0.0278,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.246,0.1106,2999.9,0.00,-0.11,-0.00,0.06,0.00,2.43,-0.0000,-0.0372,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.266,0.1303,2999.8,-0.00,-0.16,-0.00,0.07,0.00,2.85,-0.0000,-0.0447,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.287,0.1503,2999.8,-0.00,-0.22,0.00,0.08,0.00,3.28,-0.0000,-0.0523,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.307,0.1706,2999.7,-0.00,-0.28,0.00,0.09,0.00,3.71,-0.0000,-0.0601,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.327,0.1902,2999.6,-0.00,-0.35,0.00,0.10,0.00,4.12,-0.0000,-0.0677,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.348,0.2103,2999.5,-0.00,-0.43,0.00,0.12,0.00,4.53,-0.0000,-0.0754,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.368,0.2300,2999.4,-0.00,-0.52,0.00,0.13,0.00,4.93,-0.0000,-0.0829,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.388,0.2502,2999.3,-0.00,-0.63,0.00,0.15,0.00,5.34,-0.0000,-0.0905,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.408,0.2704,2999.2,-0.00,-0.73,0.00,0.17,-0.00,5.74,0.0000,-0.0978,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.429,0.2900,2999.1,-0.00,-0.85,-0.00,0.19,-0.00,6.11,0.0001,-0.1048,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.449,0.3101,2999.0,-0.00,-0.97,-0.00,0.22,-0.00,6.49,0.0001,-0.1117,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056796.469,0.3305,2998.8,0.00,-1.11,-0.00,0.25,-0.00,6.87,0.0000,-0.1183,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
