wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1779056473.640,0.0085,3000.0,0.00,-0.00,-0.00,0.00,-0.00,0.19,0.0000,-0.0031,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.661,0.0253,3000.0,0.00,-0.01,-0.00,0.01,-0.00,0.56,0.0000,-0.0078,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.681,0.0504,3000.0,0.00,-0.02,-0.00,0.03,-0.00,1.12,0.0000,-0.0157,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.701,0.0706,2999.9,0.00,-0.04,-0.00,0.04,-0.00,1.56,0.0000,-0.0225,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.722,0.0903,2999.9,0.00,-0.07,-0.00,0.05,-0.00,1.99,0.0000,-0.0295,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.742,0.1105,2999.9,0.00,-0.11,-0.00,0.06,-0.00,2.43,0.0000,-0.0369,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.762,0.1303,2999.8,0.00,-0.16,-0.00,0.07,-0.00,2.86,0.0000,-0.0444,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.783,0.1505,2999.8,0.00,-0.21,-0.00,0.08,-0.00,3.29,0.0001,-0.0522,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.803,0.1708,2999.7,0.00,-0.28,-0.00,0.09,-0.00,3.72,0.0001,-0.0601,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056473.824,0.1905,2999.6,0.00,-0.35,-0.00,0.10,-0.00,4.13,0.0001,-0.0678,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
