wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1779056756.529,0.0082,3000.0,-0.00,-0.00,0.00,0.00,0.00,0.18,-0.0000,-0.0030,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.549,0.0255,3000.0,-0.00,-0.01,0.00,0.01,0.00,0.57,-0.0000,-0.0080,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.569,0.0453,3000.0,-0.00,-0.02,0.00,0.03,0.00,1.00,-0.0000,-0.0142,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.590,0.0657,3000.0,-0.00,-0.04,0.00,0.04,0.00,1.45,-0.0000,-0.0211,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.610,0.0902,2999.9,-0.00,-0.07,0.00,0.05,0.00,1.99,-0.0000,-0.0297,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.631,0.1104,2999.9,-0.00,-0.11,0.00,0.06,0.00,2.43,-0.0000,-0.0372,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.651,0.1301,2999.8,-0.00,-0.16,0.00,0.07,0.00,2.85,-0.0000,-0.0446,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.672,0.1503,2999.8,-0.00,-0.22,0.00,0.08,0.00,3.28,-0.0000,-0.0523,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.692,0.1702,2999.7,-0.00,-0.28,0.00,0.09,0.00,3.70,-0.0000,-0.0600,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.712,0.1908,2999.6,-0.00,-0.36,0.00,0.10,0.00,4.13,-0.0001,-0.0679,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.732,0.2101,2999.5,-0.00,-0.43,0.00,0.12,0.00,4.53,-0.0001,-0.0753,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.753,0.2304,2999.4,-0.00,-0.53,0.00,0.13,0.00,4.94,-0.0001,-0.0831,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.773,0.2504,2999.3,-0.00,-0.63,0.00,0.15,0.00,5.34,-0.0001,-0.0904,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.793,0.2704,2999.2,-0.00,-0.73,0.00,0.17,0.00,5.73,-0.0002,-0.0974,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.813,0.2902,2999.1,-0.00,-0.85,0.00,0.19,0.00,6.11,-0.0002,-0.1043,0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.834,0.3103,2999.0,-0.00,-0.97,0.00,0.22,0.00,6.49,-0.0002,-0.1109,0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.854,0.3307,2998.8,-0.00,-1.11,0.00,0.25,0.00,6.87,-0.0002,-0.1172,0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.874,0.3507,2998.7,-0.00,-1.24,0.00,0.28,0.00,7.22,-0.0002,-0.1229,0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056756.895,0.3751,2998.5,-0.00,-1.42,0.00,0.33,0.00,7.64,-0.0002,-0.1293,0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
