wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1779056593.046,0.0083,3000.0,0.00,-0.00,-0.00,0.00,-0.00,0.18,0.0000,-0.0030,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.067,0.0252,3000.0,0.00,-0.01,-0.00,0.01,-0.00,0.56,0.0000,-0.0079,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.087,0.0454,3000.0,0.00,-0.02,-0.00,0.03,-0.00,1.01,0.0000,-0.0141,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.108,0.0703,2999.9,0.00,-0.04,-0.00,0.04,-0.00,1.55,0.0000,-0.0225,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.128,0.0905,2999.9,0.00,-0.07,-0.00,0.05,-0.00,2.00,0.0000,-0.0297,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.148,0.1104,2999.9,0.00,-0.11,-0.00,0.06,-0.00,2.43,0.0000,-0.0370,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.168,0.1303,2999.8,0.00,-0.16,-0.00,0.07,0.00,2.86,-0.0000,-0.0446,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.189,0.1507,2999.8,0.00,-0.22,-0.00,0.08,0.00,3.29,-0.0000,-0.0524,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.209,0.1705,2999.7,-0.00,-0.28,0.00,0.09,0.00,3.71,-0.0000,-0.0600,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.229,0.1905,2999.6,-0.00,-0.35,0.00,0.10,0.00,4.13,-0.0000,-0.0678,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.250,0.2101,2999.5,-0.00,-0.43,0.00,0.12,0.00,4.53,-0.0000,-0.0755,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.270,0.2302,2999.4,-0.00,-0.53,0.00,0.13,0.00,4.94,-0.0001,-0.0833,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.291,0.2507,2999.3,-0.00,-0.63,0.00,0.15,0.00,5.35,-0.0001,-0.0909,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.311,0.2703,2999.2,-0.00,-0.73,0.00,0.17,0.00,5.74,-0.0001,-0.0981,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.331,0.2903,2999.1,-0.00,-0.85,0.00,0.20,0.00,6.12,-0.0001,-0.1051,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.352,0.3108,2999.0,-0.00,-0.98,0.00,0.22,0.00,6.51,-0.0001,-0.1120,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.373,0.3351,2998.8,-0.00,-1.14,0.00,0.26,0.00,6.95,-0.0001,-0.1197,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.393,0.3558,2998.6,-0.00,-1.28,0.00,0.29,0.00,7.32,-0.0001,-0.1258,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.413,0.3755,2998.5,-0.00,-1.43,0.00,0.33,0.00,7.66,-0.0001,-0.1312,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.433,0.3958,2998.3,-0.00,-1.58,0.00,0.37,0.00,7.99,-0.0002,-0.1363,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.454,0.4151,2998.2,-0.00,-1.74,0.00,0.41,0.00,8.31,-0.0002,-0.1405,0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.474,0.4358,2998.0,-0.00,-1.91,0.00,0.45,0.00,8.63,-0.0002,-0.1444,0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.495,0.4552,2997.8,-0.00,-2.07,0.00,0.50,0.00,8.93,-0.0002,-0.1472,0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.518,0.4769,2997.6,-0.00,-2.25,0.00,0.56,0.00,9.24,-0.0001,-0.1493,0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.539,0.5002,2997.4,-0.00,-2.45,0.00,0.62,-0.00,9.58,0.0001,-0.1504,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.559,0.5201,2997.2,-0.00,-2.63,0.00,0.68,-0.00,9.85,0.0002,-0.1505,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.579,0.5408,2997.0,-0.00,-2.80,0.00,0.74,-0.00,10.12,0.0002,-0.1497,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.600,0.5608,2996.8,-0.00,-2.97,0.00,0.80,-0.00,10.38,0.0003,-0.1480,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.620,0.5807,2996.6,-0.00,-3.14,0.00,0.87,-0.00,10.62,0.0003,-0.1451,-0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.641,0.6001,2996.4,-0.00,-3.30,0.00,0.93,-0.00,10.85,0.0004,-0.1415,-0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.666,0.6103,2996.3,-0.00,-3.38,0.00,0.97,-0.00,10.97,0.0005,-0.1393,-0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.689,0.6265,2996.1,0.00,-3.51,0.00,1.02,-0.00,11.15,0.0005,-0.1354,-0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.712,0.6451,2995.9,0.00,-3.65,0.00,1.08,-0.00,11.36,0.0005,-0.1304,-0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.733,0.6451,2995.9,0.00,-3.65,0.00,1.08,-0.00,11.36,0.0005,-0.1304,-0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056593.754,0.6904,2995.4,0.00,-3.97,0.00,1.24,-0.00,11.82,0.0004,-0.1154,-0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
