wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1779056835.842,0.0083,3000.0,-0.00,-0.00,0.00,0.00,0.00,0.18,-0.0000,-0.0030,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.862,0.0256,3000.0,-0.00,-0.01,0.00,0.01,0.00,0.57,-0.0000,-0.0080,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.882,0.0452,3000.0,-0.00,-0.02,0.00,0.03,0.00,1.00,-0.0000,-0.0141,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.903,0.0655,3000.0,-0.00,-0.04,0.00,0.04,0.00,1.45,-0.0000,-0.0208,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.923,0.0901,2999.9,-0.00,-0.07,0.00,0.05,0.00,1.99,-0.0000,-0.0295,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.943,0.1104,2999.9,-0.00,-0.11,0.00,0.06,0.00,2.43,-0.0000,-0.0370,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.964,0.1301,2999.8,-0.00,-0.16,0.00,0.07,0.00,2.85,-0.0000,-0.0443,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056835.984,0.1502,2999.8,-0.00,-0.21,0.00,0.08,0.00,3.28,-0.0000,-0.0520,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056836.004,0.1700,2999.7,-0.00,-0.28,0.00,0.09,0.00,3.70,-0.0000,-0.0597,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056836.025,0.1904,2999.6,-0.00,-0.35,0.00,0.10,0.00,4.12,-0.0000,-0.0675,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056836.045,0.2104,2999.5,-0.00,-0.43,0.00,0.12,0.00,4.54,-0.0000,-0.0751,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056836.065,0.2308,2999.4,-0.00,-0.53,0.00,0.13,-0.00,4.95,0.0000,-0.0828,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056836.086,0.2507,2999.3,-0.00,-0.62,0.00,0.15,-0.00,5.35,0.0000,-0.0901,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056836.106,0.2707,2999.2,-0.00,-0.73,0.00,0.17,0.00,5.74,-0.0000,-0.0973,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
