trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
0,0.065,0.005,0.001,3.82,,7.869451142421935,0.02284843869002285,0.02817974105102818,0.54,0.7497000000000003,12.3617,4.457,True,0.394,ok
1,0.05,0.015,0.001,3.0,,7.6171583142639205,0.020594965675057208,0.02212051868802441,0.54,0.7742999999999998,8.2924,3.8941,True,0.394,ok
2,0.015355286838886862,0.03335042352388027,0.007259248719561361,3.595304694689628,,7.875324599542335,0.02288329519450801,0.02669717772692601,0.56,0.7702999999999998,8.4043,8.0145,True,0.394,ok
3,0.00797854234707418,0.0012389490049257866,0.01044004075054466,3.6039025411012306,,7.708297101449276,0.02135774218154081,0.02288329519450801,0.56,0.7749999999999999,7.6655,6.3414,True,0.394,ok
4,0.005318033256270142,0.03579758832747054,0.009528587217040238,2.2431868873739664,,7.6144559796437665,0.020610687022900764,0.022137404580152672,0.54,0.7504,8.4972,3.6728,True,0.394,ok
5,0.008661333735273127,0.003071951290267427,0.004141536110538595,3.011807565247405,,7.610552170601675,0.020563594821020565,0.022086824067022087,0.54,0.75,7.743,6.576,True,0.394,ok
6,0.03126143958203108,0.0016729290906109008,0.002205914967807102,2.7822664515279207,,7.616474980930587,0.020594965675057208,0.02212051868802441,0.54,0.7702,8.9126,5.4034,True,0.394,ok
7,0.05254210669345883,0.0020887640189051556,0.004025192252635065,3.5734509910171486,,8.878165778116273,0.031226199543031227,0.053313023610053314,0.54,0.77,12.5313,3.6567,True,0.394,ok
8,0.030860579740535368,0.0018758144459818408,0.0011926324174062872,4.821099380386666,,7.616391647597254,0.020594965675057208,0.02212051868802441,0.54,0.7697000000000003,7.7378,3.3598,True,0.394,ok
9,0.05632733481673016,0.0030761643332313385,0.0013027807103090279,3.894815592792549,,8.254508453922316,0.02361005331302361,0.04493526275704494,0.54,0.7751999999999999,12.0123,5.4221,True,0.394,ok
10,0.09271770137043259,0.009667877588318783,0.004066857741116593,1.5628665646518687,,7.873964631043257,0.022137404580152672,0.030534351145038167,0.54,0.7502,13.9891,7.4363,True,0.394,ok
11,0.04866571542506329,0.003909581202152826,0.002113185259448306,4.375750579260559,,7.91008687293099,0.02215431627196333,0.03208556149732621,0.54,0.7747000000000002,12.1611,5.1878,True,0.394,ok
12,0.0975691176039823,0.002553569839098923,0.0023842044276774234,4.055886002280125,,8.39444961832061,0.025954198473282442,0.046564885496183206,0.52,0.7553999999999998,18.1537,6.0148,True,0.394,ok
13,0.0913773343381128,0.0010454842814996387,0.002596626422897955,4.3786241771033705,,8.208007322654463,0.02364607170099161,0.04271548436308162,0.54,0.7495999999999996,16.4685,5.7876,True,0.394,ok
14,0.025055826778359096,0.0022775651720090793,0.005435990673113614,4.328723512044019,,7.599938804071247,0.020610687022900764,0.021374045801526718,0.54,0.7548999999999997,7.9678,4.6924,True,0.394,ok
15,0.09846818495945238,0.006733907935822927,0.014839058155279429,4.908805102794952,,9.907964631043257,0.042748091603053436,0.06870229007633588,0.56,0.7742,14.1932,4.2484,True,0.394,ok
16,0.0169670593390438,0.008538341498789776,0.012061663290906995,4.972634037084517,,7.617224980930587,0.020594965675057208,0.02212051868802441,0.54,0.7747000000000002,11.225,8.152,True,0.394,ok
17,0.038979122827201916,0.015109797164574919,0.013656063274976928,2.3543041243908904,,7.615705602240896,0.020626432391138275,0.02215431627196333,0.54,0.7502,8.6223,7.4753,True,0.394,ok
18,0.07032848542890614,0.005974337461494014,0.007001308572910981,4.65095645530616,,8.834450724637682,0.03051106025934401,0.05339435545385202,0.54,0.7553999999999998,13.1693,4.1047,True,0.394,ok
19,0.07111686017668462,0.008801813674601902,0.003083676200681181,1.5384621623531993,,8.076506116207952,0.023700305810397553,0.035932721712538224,0.54,0.7549999999999999,13.4555,5.5514,True,0.394,ok
20,0.037539584177972936,0.01705186451895778,0.005681451796853012,3.371830925794396,,8.013952097635393,0.02440884820747521,0.03051106025934401,0.54,0.7751999999999999,10.5202,7.0443,True,0.394,ok
21,0.07317502717506394,0.005977832579117649,0.008704471687344326,4.655141985378598,,9.358197328244277,0.03587786259541985,0.0633587786259542,0.54,0.7701000000000002,13.7705,4.0569,True,0.394,ok
22,0.07321009283185596,0.004513592521629763,0.008924824686298174,4.613608837532846,,8.928417238749047,0.03051106025934401,0.057971014492753624,0.54,0.77,14.3797,5.2952,True,0.394,ok
23,0.07894610312416167,0.004323569725211385,0.008332775093512008,4.635068278684922,,9.52908883792049,0.035168195718654434,0.07415902140672782,0.54,0.7548999999999997,14.5422,4.4499,True,0.394,ok
24,0.09991514434014871,0.007164885232501776,0.014922074600326879,4.227512253567422,,9.264872234935163,0.033562166285278416,0.06559877955758962,0.54,0.7749999999999999,14.8235,4.2292,True,0.394,ok
25,0.07858831997864955,0.011621301360097638,0.007542698429718444,4.973720319502162,,7.677570957473899,0.020626432391138275,0.025210084033613446,0.54,0.7546999999999997,13.5673,6.9623,True,0.394,ok
26,0.04055248177053034,0.006080021813143337,0.011388872726546498,4.620486397732865,,7.631223170731707,0.020579268292682928,0.022865853658536585,0.54,0.7749000000000001,13.3164,6.3173,True,0.394,ok
27,0.06026620329698867,0.003709879458423706,0.005546653995977939,4.568104313661558,,9.007384605597963,0.03206106870229008,0.055725190839694655,0.56,0.7753000000000001,13.3276,4.9328,True,0.394,ok
28,0.018915137025867522,0.021047933679730253,0.008638503481393056,4.057871091263108,,7.6126959349593495,0.020579268292682928,0.022103658536585365,0.54,0.7551999999999999,11.8698,9.1703,True,0.394,ok
29,0.012991631172708008,0.005410412060491205,0.014259810157225963,4.808070319842415,,8.293940061162079,0.02599388379204893,0.039755351681957186,0.54,0.7751999999999999,10.4051,7.1241,True,0.394,ok
30,0.07557842788994884,0.004860744676953731,0.011230354837946193,3.881154927293372,,8.737348470948012,0.027522935779816515,0.05733944954128441,0.54,0.7751000000000001,14.7259,4.6671,True,0.394,ok
31,0.09824948094921618,0.006883372608261404,0.014844429701298978,4.175216434546419,,9.261199961861175,0.034324942791762014,0.06483600305110603,0.52,0.7499000000000002,14.7764,6.5307,True,0.394,ok
32,0.058681640163724784,0.00738555050910072,0.012385407589886746,4.4223850075239035,,7.817680506748154,0.0213903743315508,0.029793735676088617,0.54,0.7702999999999998,14.1049,5.257,True,0.394,ok
33,0.08276474467015163,0.004025314972786886,0.0074974850131568705,4.775638675905832,,9.1733057208238,0.032036613272311214,0.06559877955758962,0.54,0.7747999999999999,15.1437,4.6846,True,0.394,ok
34,0.06438747410521477,0.011335321411516181,0.006238266174535196,4.990040072167211,,7.70545816170862,0.020594965675057208,0.02669717772692601,0.54,0.7549000000000001,12.7639,6.477,True,0.394,ok
35,0.0468300865191688,0.007595961510382772,0.009175772887308477,4.194434576972219,,7.619905602240896,0.020626432391138275,0.02215431627196333,0.54,0.7753999999999999,11.9535,6.7776,True,0.394,ok
36,0.08681312990801426,0.0116078045896314,0.010121688549421557,3.727225444927914,,8.020995252679938,0.020673813169984685,0.04211332312404288,0.54,0.7698,13.5383,7.1508,True,0.394,ok
37,0.09990772001836182,0.003375562438267948,0.004874467783929223,4.4872573090275845,,8.37875709382151,0.02669717772692601,0.04042715484363082,0.56,0.7702999999999998,16.9903,6.2675,True,0.394,ok
