,PteroSim Aircraft Integration: Required Parameters,,,,,,,,,,,,,
,"Fill in ""Your Value"" column. Leave blank if unknown. (*) = critical. Skip sections marked ""if applicable"".",,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Parameter,Unit,Your Value,Notes,,,,,,,,,,
1. General,,,,,,,,,,,,x,y,z
58,Motor 1: position (Y),m,1.183447,,,,,,,,,,,
59,Motor 1: position (Z),m,0.044669,,,,,,,,,,,
60,Motor 1: orientation,deg,0,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
61,Motor 1: rotation,,CCW,CW or CCW viewed from above,,,,,,,,,,
62,Motor 1: role,,Tilt,VTOL / Cruise / Dual / Tilt,,,,,,,,,,
63,Motor 1: tilt axis,,Pitch,Axis of tilt rotation: pitch / roll / yaw (if tilting),,,,,,,,,,
64,Motor 1: tilt range,deg,0 to 90,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
65,Motor 2: position (X),m,-0.530188,"+X=aft, +Y=right, +Z=down from CG",,,,,,,,,,
66,Motor 2: position (Y),m,-1.183447,,,,,,,,,,,
67,Motor 2: position (Z),m,0.044669,,,,,,,,,,,
68,Motor 2: orientation,deg,0,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
69,Motor 2: rotation,,CW,CW or CCW viewed from above,,,,,,,,,,
70,Motor 2: role,,Tilt,VTOL / Cruise / Dual / Tilt,,,,,,,,,,
71,Motor 2: tilt axis,,Pitch,Axis of tilt rotation: pitch / roll / yaw (if tilting),,,,,,,,,,
72,Motor 2: tilt range,deg,0 to 90,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
73,Motor 3: position (X),m,0.576853,"+X=aft, +Y=right, +Z=down from CG",,,,,,,,,,
74,Motor 3: position (Y),m,1.183447,,,,,,,,,,,
75,Motor 3: position (Z),m,-0.028862,,,,,,,,,,,
76,Motor 3: orientation,deg,0,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
77,Motor 3: rotation,,CW,CW or CCW viewed from above,,,,,,,,,,
78,Motor 3: role,,VTOL,VTOL / Cruise / Dual / Tilt,,,,,,,,,,
79,Motor 3: tilt axis,,N/A,Axis of tilt rotation: pitch / roll / yaw (if tilting),,,,,,,,,,
80,Motor 3: tilt range,deg,N/A,"Min and max tilt angle, e.g. 0 to 90 (if tilting)",,,,,,,,,,
81,Motor 4: position (X),m,0.576853,"+X=aft, +Y=right, +Z=down from CG",,,,,,,,,,
82,Motor 4: position (Y),m,-1.183447,,,,,,,,,,,
83,Motor 4: position (Z),m,-0.028862,,,,,,,,,,,
84,Motor 4: orientation,deg,0,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
85,Motor 4: rotation,,CCW,CW or CCW viewed from above,,,,,,,,,,
86,Motor 4: role,,VTOL,VTOL / Cruise / Dual / Tilt,,,,,,,,,,
87,Motor 4: tilt axis,,N/A,Axis of tilt rotation: pitch / roll / yaw (if tilting),,,,,,,,,,
88,Motor 4: tilt range,deg,N/A,"Min and max tilt angle, e.g. 0 to 90 (if tilting)",,,,,,,,,,
89,Motor 5: position (X),m,N/A,"+X=aft, +Y=right, +Z=down from CG",We are assuming no front propeller for now.,,,,,,,,,
90,Motor 5: position (Y),m,N/A,,,,,,,,,,,
91,Motor 5: position (Z),m,N/A,,,,,,,,,,,
92,Motor 5: orientation,deg,N/A,"Default angle (pitch/roll/yaw). Vertical up = 0, forward = 90",,,,,,,,,,
93,Motor 5: rotation,,N/A,CW or CCW viewed from above,,,,,,,,,,
94,Motor 5: role,,N/A,VTOL / Cruise / Dual / Tilt,,,,,,,,,,
95,Motor 5: tilt axis,,N/A,Axis of tilt rotation: pitch / roll / yaw (if tilting),,,,,,,,,,
96,Motor 5: tilt range,deg,N/A,"Min and max tilt angle, e.g. 0 to 90 (if tilting)",,,,,,,,,,
4d. Propellers,,,,,,,,,,,,,,
97,Propeller diameter *,mm,812.8,Per motor group if different,,,,,,,,,,
98,Number of blades *,,2,,,,,,,,,,,
99,Propeller pitch,mm,304.8,,,,,,,,,,,
100,Propeller model / brand,,T-Motor VZ32*12,"e.g. APC 380x254, T-Motor P28x9.2, DJI 9450",,,,,,,,,,
101,Propeller moment of inertia,kg·m²,0.01465,,,,,,,,,,,
102,Variable pitch?,,No,If yes: min pitch and max pitch in degrees,,,,,,,,,,
103,Thrust coefficient table available?,,Yes,"CT vs advance ratio J, from manufacturer or test",,,,,,,,,,
104,Power coefficient table available?,,Yes,CP vs advance ratio J,,,,,,,,,,
105,Different props for cruise motor?,,No,"If yes, specify all above separately",,,,,,,,,,
5. Aerodynamics (we can estimate if unknown) ** Got using a DATCOM Calculator,,,,,,,,,,,,,,
