trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
0,0.065,0.005,0.001,3.82,,3.8451340943683405,0.0289193302891933,0.0517503805175038,0.54,0.7948999999999997,16.4496,4.9113,False,0.15,ok
1,0.05,0.015,0.001,3.0,,3.0119412662090013,0.02135774218154081,0.031273836765827616,0.56,0.7950000000000004,10.629,6.1286,False,0.15,ok
2,0.015355286838886862,0.03335042352388027,0.007259248719561361,3.595304694689628,,3.044985583524028,0.02212051868802441,0.03279938977879481,0.54,0.7553000000000001,19.2762,6.2615,False,0.15,ok
3,0.00797854234707418,0.0012389490049257866,0.01044004075054466,3.6039025411012306,,3.1439948971820257,0.022086824067022087,0.035034272658035034,0.56,0.8343000000000003,9.4644,7.5067,False,0.15,ok
4,0.005318033256270142,0.03579758832747054,0.009528587217040238,2.2431868873739664,,3.0940282305153595,0.02284843869002285,0.03274942878903275,0.54,0.7744,26.8864,16.5342,False,0.15,ok
5,0.008661333735273127,0.003071951290267427,0.004141536110538595,3.011807565247405,,2.8407786350904,0.020626432391138275,0.026737967914438502,0.54,0.7753000000000001,11.5695,7.9096,False,0.15,ok
6,0.03126143958203108,0.0016729290906109008,0.002205914967807102,2.7822664515279207,,3.5202365853658533,0.025914634146341462,0.042682926829268296,0.56,0.8151000000000002,12.1118,4.8256,False,0.15,ok
7,0.05254210669345883,0.0020887640189051556,0.004025192252635065,3.5734509910171486,,4.042931043256997,0.031297709923664124,0.05267175572519084,0.56,0.8148999999999997,16.596,5.5972,False,0.15,ok
8,0.030860579740535368,0.0018758144459818408,0.0011926324174062872,4.821099380386666,,2.9987307888040715,0.021374045801526718,0.03206106870229008,0.54,0.7951999999999999,11.3649,5.2246,False,0.15,ok
9,0.05632733481673016,0.0030761643332313385,0.0013027807103090279,3.894815592792549,,3.9970961832061067,0.029770992366412213,0.0549618320610687,0.56,0.8148,15.6959,5.5427,False,0.15,ok
10,0.09271770137043259,0.009667877588318783,0.004066857741116593,1.5628665646518687,,3.3628753180661577,0.025190839694656488,0.03740458015267176,0.56,0.79,19.2594,9.2742,False,0.15,ok
11,0.04866571542506329,0.003909581202152826,0.002113185259448306,4.375750579260559,,3.4320773536895675,0.025190839694656488,0.04045801526717557,0.56,0.8144,13.8329,4.9492,False,0.15,ok
12,0.0975691176039823,0.002553569839098923,0.0023842044276774234,4.055886002280125,,3.147910703363914,0.023700305810397553,0.03287461773700306,0.54,0.7751999999999999,19.9628,5.7723,False,0.15,ok
13,0.023238184796302446,0.0010454842814996387,0.00640361897832115,4.602059781833332,,3.4286065040650406,0.023628048780487805,0.04496951219512195,0.56,0.8146,11.6105,4.1402,False,0.15,ok
14,0.0535420932670638,0.007007021479466498,0.0027994052523438347,4.230934560993274,,2.8452913486005085,0.021374045801526718,0.022900763358778626,0.56,0.7945000000000002,14.9752,7.4145,False,0.15,ok
15,0.03436995133764364,0.0021546783901163964,0.014839058155279429,3.4308616131275387,,3.56130701754386,0.02517162471395881,0.04729214340198322,0.56,0.7955000000000001,11.7645,4.8604,False,0.15,ok
16,0.0169670593390438,0.003786306458309703,0.0015546179496302263,2.450784956679239,,3.050764631043257,0.022900763358778626,0.028244274809160305,0.56,0.8155000000000001,11.1621,5.1959,False,0.15,ok
17,0.0691347400383028,0.007495579075268449,0.0032980928866703473,4.009853438203276,,2.9766302798982185,0.022137404580152672,0.02900763358778626,0.54,0.7746999999999997,18.5207,6.0259,False,0.15,ok
18,0.04036636647605267,0.01600036157207568,0.0052760675295097795,4.931694324889899,,2.8399876241405653,0.0213903743315508,0.02291825821237586,0.56,0.7746,11.755,6.3004,False,0.15,ok
19,0.02032164506552255,0.001477854498546698,0.0015596680615660248,3.2338283785876403,,3.255737913486005,0.025190839694656488,0.031297709923664124,0.56,0.835,10.252,4.9253,False,0.15,ok
20,0.0714798675613473,0.005174092319305199,0.005206493241715332,4.457635595927434,,3.6507317073170733,0.026676829268292682,0.04725609756097561,0.56,0.7949999999999999,16.7298,7.7404,False,0.15,ok
21,0.0716134109571129,0.004076926400287389,0.0015204420149892523,3.8430443927920854,,3.9866285278413423,0.031273836765827616,0.05034324942791762,0.56,0.79,18.1264,7.6427,False,0.0,ok
22,0.07438592883106566,0.003053377589850579,0.0015879758173473564,3.8160947596997605,,3.6679957284515634,0.02822273073989321,0.043478260869565216,0.56,0.7951999999999999,19.5703,8.4998,False,0.15,ok
23,0.041451361840443283,0.0024065347017229047,0.0017162463603150311,3.3248799368930233,,3.5204737604881773,0.02593440122044241,0.04271548436308162,0.56,0.8103000000000002,16.4616,4.964,False,0.15,ok
24,0.05328997238534811,0.004395166979180811,0.0012873188779992009,3.8372735735443237,,3.2606357723577237,0.023628048780487805,0.0350609756097561,0.58,0.8151999999999999,14.6127,5.2592,False,0.15,ok
25,0.08685734156628859,0.009287487464097365,0.0030127691265781236,4.125026734932508,,3.6564660809778458,0.02750190985485103,0.04507257448433919,0.56,0.7947000000000002,18.1437,6.1032,False,0.15,ok
26,0.02671010773420226,0.002741614513112723,0.0034979089360828762,3.606204961392292,,2.9483858886346304,0.02212051868802441,0.02364607170099161,0.58,0.8347000000000002,12.5649,4.985,False,0.15,ok
27,0.0618518061962926,0.0014508234884422011,0.0019473069530411143,3.0878118751260053,,4.052282556659028,0.03208556149732621,0.05118411000763942,0.56,0.7904,17.2348,7.3469,False,0.15,ok
28,0.04294774275548726,0.0013683795998196248,0.0020099940195674017,2.6569764280333943,,3.7335845528455285,0.027439024390243903,0.04878048780487805,0.56,0.8148999999999997,13.5979,5.2389,False,0.15,ok
