trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
0,0.065,0.005,0.001,3.82,,6.772334036838067,0.04604758250191865,0.06753645433614736,1.16,3.675,33.7961,38.8827,False,0.0,ok
14,0.018642810651341123,0.008361598067309831,0.010848663143688337,2.4201871996284114,,0.0,,,,,,,,,empty
1,0.05,0.015,0.001,3.0,,0.0,0.0,,,0.0,0.0,,,,never_armed
2,0.03711949003907653,0.01310431510768876,0.0064272079876372245,2.233991780504304,,19.44011060157791,0.15779092702169625,0.1913214990138067,3.18,5.5049,44.9055,40.8794,False,0.0,ok
3,0.0293601586511158,0.01562757159083806,0.0051684217853487004,3.4548647782429915,,10.283584584980236,0.07806324110671936,0.11462450592885376,1.54,3.9892000000000003,21.3691,30.6701,False,0.0,ok
4,0.013851197621057671,0.006716828434017148,0.00815879847821171,2.7871346474483567,,10.24122581602374,0.0771513353115727,0.10979228486646884,1.56,4.3052,13.8114,19.5087,False,0.0,ok
5,0.029930508485773468,0.0062585255380701085,0.008001480489146248,2.5495427649405373,,10.412582146389713,0.0791295746785361,0.11473788328387735,1.56,4.1202000000000005,15.165,35.7909,False,0.0,ok
6,0.014301329184808203,0.011439431761222946,0.01297328676938981,2.0696756190799968,,15.231105778894474,0.12261306532663317,0.14371859296482412,2.44,5.3598,13.4884,23.9016,False,0.0,ok
7,0.011236213390203352,0.02302568358805884,0.023654721034492555,3.212596022174692,,10.72743065123789,0.0861141011840689,0.10979547900968784,1.6,3.8587000000000002,17.0705,24.9997,False,0.0,ok
8,0.034075072233051326,0.010153678190172122,0.006085146941869395,2.742765365166905,,10.40565996538081,0.0791295746785361,0.11177052423343224,1.6,4.0899,18.179,31.1547,False,0.0,ok
9,0.0158990057444046,0.014522895363326365,0.008257464143826443,2.780102031766716,,10.095031454005934,0.0771513353115727,0.10385756676557864,1.56,4.1952,12.5966,29.2039,False,0.0,ok
10,0.04196541915265025,0.020194024665726923,0.005574662623309913,2.026942813422229,,10.021373267326732,0.07623762376237624,0.10792079207920792,1.54,3.9148000000000005,16.66,31.3813,False,0.0,ok
11,0.020340634876294863,0.010204602430007413,0.014998809118738545,2.0062192291102305,,16.434343811881188,0.13267326732673268,0.1613861386138614,2.66,5.024900000000001,16.6225,34.8126,False,0.0,ok
12,0.020978955475582612,0.009848562691807042,0.015354552253639197,2.297221895266719,,10.356759965380812,0.08011869436201781,0.10880316518298715,1.58,4.0143,18.0229,27.4371,False,0.0,ok
13,0.020518991640033245,0.008843714115667633,0.01787241856641274,2.361211906251365,,10.323441089108911,0.07920792079207921,0.10792079207920792,1.6,4.0502,14.5052,26.1207,False,0.0,ok
14,0.022816360136912663,0.012000481242444343,0.010848663143688337,2.2212204179763693,,10.186329365079366,0.0763888888888889,0.11408730158730158,1.54,4.045,17.4721,28.5324,False,0.0,ok
