trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
0,0.065,0.005,0.001,3.82,,0.0,0.0,,,0.0,0.0,,,,never_armed
1,0.05,0.015,0.001,3.0,,0.0,0.0,,,0.0,0.0,,,,never_armed
2,0.015355286838886862,0.03335042352388027,0.007259248719561361,3.595304694689628,,0.0,0.0,,,0.0,0.0,,,,never_armed
3,0.00797854234707418,0.0012389490049257866,0.01044004075054466,3.6039025411012306,,0.0,0.0,,,0.0,0.0,,,,never_armed
4,0.005318033256270142,0.03579758832747054,0.009528587217040238,2.2431868873739664,,0.0,0.0,,,0.0,0.0,,,,never_armed
5,0.008661333735273127,0.003071951290267427,0.004141536110538595,3.011807565247405,,0.0,0.0,,,0.0,0.0,,,,never_armed
6,0.03126143958203108,0.0016729290906109008,0.002205914967807102,2.7822664515279207,,0.0,0.0,,,0.0,0.0,,,,never_armed
7,0.05254210669345883,0.0020887640189051556,0.004025192252635065,3.5734509910171486,,0.0,0.0,,,0.0,0.0,,,,never_armed
8,0.030860579740535368,0.0018758144459818408,0.0011926324174062872,4.821099380386666,,0.0,0.0,,,0.0,0.0,,,,never_armed
9,0.05632733481673016,0.0030761643332313385,0.0013027807103090279,3.894815592792549,,0.0,0.0,,,0.0,0.0,,,,never_armed
10,0.09380503513998176,0.0075413041875899796,0.00230078730571908,1.5628665646518687,,0.0,0.0,,,0.0,0.0,,,,never_armed
11,0.07583490184889756,0.0121659565436817,0.0010155819063754595,4.584096399191738,,0.0,0.0,,,0.0,0.0,,,,never_armed
12,0.04139746322166747,0.015202070682365763,0.0018298161855714345,4.229998394042318,,0.0,0.0,,,0.0,0.0,,,,never_armed
